No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
17210,"LAMB,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",LAMB,152,0.0,14.84,9.82,3.54,0.48,4.44
17215,"LAMB,VAR MEATS&BY-PRODUCTS,SPLEEN,CKD,BRSD",LAMB,156,0.0,26.46,4.77,1.27,0.35,1.58
17214,"LAMB,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",LAMB,101,0.0,17.2,3.1,0.81,0.23,1.03
17221,"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,CKD,BRSD",LAMB,275,0.0,21.57,20.28,10.0,1.25,7.83
17220,"LAMB,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",LAMB,222,0.0,15.7,17.17,8.46,1.06,6.63
11794,"LAMBSQUARTERS,CKD,BLD,DRND,W/ SALT",LAMBSQUARTERS,32,5.0,3.2,0.7,0.131,0.307,0.052
11245,"LAMBSQUARTERS,CKD,BLD,DRND,WO/SALT",LAMBSQUARTERS,32,5.0,3.2,0.7,0.131,0.307,0.052
11244,"LAMBSQUARTERS,RAW",LAMBSQUARTERS,43,7.3,4.2,0.8,0.15,0.351,0.059
4002,LARD,LARD,902,0.0,0.0,100.0,45.1,11.2,39.2
22916,"LASAGNA W/ MEAT & SAU,FRZ ENTREE",LASAGNA W/ MEAT & SAU,124,14.39,6.63,4.42,1.6,0.358,2.067
22915,"LASAGNA W/ MEAT & SAU,LOW-FAT,FRZ ENTREE",LASAGNA W/ MEAT & SAU,101,13.5,6.81,2.23,0.698,0.279,0.967
22977,"LASAGNA W/ MEAT SAU,FRZ,PREP",LASAGNA W/ MEAT SAU,135,15.36,7.28,4.92,1.758,0.433,2.348
