No.,Description,Category,Energy (Kcal),Carbohydrate(g),Protein(g),Total Lipid(g),Monounsaturated Fatty Acids(g),Polyunsaturated Fatty Acids(g),Saturated Fatty Acids(g)
32017,"PASTA MIX,ITALIAN FOUR CHS LASAGNA,UNPREP",PASTA MIX,355,70.26,12.53,2.7,0.546,0.519,0.697
32010,"PASTA MIX,ITALIAN LASAGNA,UNPREP",PASTA MIX,356,73.77,10.9,1.97,0.423,0.415,0.443
22914,"PASTA W/ TOMATO SAU,NO MEAT,CND",PASTA W/ TOMATO SAU,70,14.22,2.22,0.44,0.088,0.171,0.136
22522,"PASTA W/SLICED FRANKS IN TOMATO SAU,CND ENTREE",PASTA W/SLICED FRANKS IN TOMATO SAU,90,12.7,4.37,2.38,1.024,0.328,0.791
20321,"PASTA,CKD,ENR,W/ ADDED SALT",PASTA,157,30.59,5.8,0.93,0.131,0.326,0.176
20121,"PASTA,CKD,ENR,WO/ ADDED SALT",PASTA,158,30.86,5.8,0.93,0.131,0.326,0.176
20521,"PASTA,CKD,UNENR,W/ ADDED SALT",PASTA,157,30.59,5.8,0.93,0.351,0.319,0.176
20421,"PASTA,CKD,UNENR,WO/ ADDED SALT",PASTA,158,30.86,5.8,0.93,0.131,0.326,0.176
20120,"PASTA,DRY,ENR",PASTA,371,74.67,13.04,1.51,0.171,0.564,0.277
20420,"PASTA,DRY,UNENR",PASTA,371,74.67,13.04,1.51,0.171,0.564,0.277
20093,"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED",PASTA,288,54.73,11.31,2.3,0.271,0.942,0.328
20094,"PASTA,FRESH-REFRIGERATED,PLN,CKD",PASTA,131,24.93,5.15,1.05,0.124,0.429,0.15
20095,"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED",PASTA,289,55.72,11.26,2.1,0.659,0.467,0.483
20096,"PASTA,FRESH-REFRIGERATED,SPINACH,CKD",PASTA,130,25.04,5.06,0.94,0.296,0.21,0.217
20654,"PASTA,GLUTEN-FREE,BROWN RICE FLR,CKD,TINKYADA",PASTA,138,32.2,3.46,1.67,0.596,0.446,0.203
20657,"PASTA,GLUTEN-FREE,CORN & RICE FLR,CKD",PASTA,179,38.05,3.2,1.0,0.259,0.329,0.15
20655,"PASTA,GLUTEN-FREE,CORN FLR & QUINOA FLR,CKD,ANCIENT HARVEST",PASTA,152,31.11,3.23,2.07,0.663,0.947,0.152
20092,"PASTA,GLUTEN-FREE,CORN,CKD",PASTA,126,27.91,2.63,0.73,0.191,0.325,0.102
20091,"PASTA,GLUTEN-FREE,CORN,DRY",PASTA,357,79.26,7.46,2.08,0.543,0.924,0.29
20097,"PASTA,HOMEMADE,MADE W/EGG,CKD",PASTA,130,23.54,5.28,1.74,0.508,0.521,0.408
20098,"PASTA,HOMEMADE,MADE WO/EGG,CKD",PASTA,124,25.12,4.37,0.98,0.187,0.508,0.14
20653,"PASTA,WHL GRAIN,51% WHL WHEAT,REMAINING ENR SEMOLINA,DRY",PASTA,361,73.3,13.2,2.55,0.241,0.846,0.324
20136,"PASTA,WHL GRAIN,51% WHL WHEAT,REMAINING UNENR SEMOLINA,CKD",PASTA,159,31.51,5.82,1.5,0.171,0.584,0.239
20135,"PASTA,WHL GRAIN,51% WHL WHEAT,REMAINING UNENR SEMOLINA,DRY",PASTA,362,73.1,13.51,2.68,0.281,0.928,0.351
20125,"PASTA,WHOLE-WHEAT,CKD",PASTA,149,30.07,5.99,1.71,0.176,0.574,0.243
20124,"PASTA,WHOLE-WHEAT,DRY",PASTA,352,73.37,13.87,2.93,0.361,1.136,0.428
7925,PASTRAMI  BF  98% FAT-FREE,PASTRAMI  BF  98% FAT-FREE,95,1.54,19.6,1.16,0.56,0.04,0.0
7052,"PASTRAMI,TURKEY",PASTRAMI,139,3.34,16.3,6.21,1.93,1.42,1.395
18959,"PASTRY,PASTELITOS DE GUAVA (GUAVA PASTRIES)",PASTRY,379,47.76,5.48,18.5,8.543,2.835,5.535
7942,PATE  TRUFFLE FLAVOR,PATE  TRUFFLE FLAVOR,327,6.3,11.2,28.5,13.6,3.42,10.1
5282,"PATE DE FOIE GRAS,CND (GOOSE LIVER PATE),SMOKED",PATE DE FOIE GRAS,462,4.67,11.4,43.84,25.61,0.84,14.45
7053,"PATE,CHICKEN LIVER,CANNED",PATE,201,6.55,13.45,13.1,5.28,2.46,4.0
7054,"PATE,GOOSE LIVER,SMOKED,CND",PATE,462,4.67,11.4,43.84,25.61,0.84,14.45
7055,"PATE,LIVER,NOT SPECIFIED,CND",PATE,319,1.5,14.2,28.0,12.36,3.16,9.57
9407,"PEACH NECTAR,CND,W/ VIT C",PEACH NECTAR,54,13.92,0.27,0.02,0.008,0.011,0.002
9251,"PEACH NECTAR,CND,WO/ VIT C",PEACH NECTAR,54,13.92,0.27,0.02,0.008,0.011,0.002
9242,"PEACHES,CND,EX HVY SYRUP PK,SOL&LIQUIDS",PEACHES,96,26.06,0.47,0.03,0.011,0.014,0.003
9239,"PEACHES,CND,EX LT SYRUP,SOL&LIQUIDS",PEACHES,42,11.1,0.4,0.1,0.036,0.048,0.011
9237,"PEACHES,CND,H2O PK,SOL&LIQUIDS",PEACHES,24,6.11,0.44,0.06,0.021,0.028,0.006
9241,"PEACHES,CND,HVY SYRUP PK,SOL&LIQUIDS",PEACHES,74,19.94,0.45,0.1,0.035,0.047,0.01
9370,"PEACHES,CND,HVY SYRUP,DRND",PEACHES,72,18.43,0.52,0.18,0.047,0.066,0.013
9238,"PEACHES,CND,JUC PK,SOL&LIQUIDS",PEACHES,44,11.57,0.63,0.03,0.012,0.016,0.004
9240,"PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS",PEACHES,54,14.55,0.45,0.03,0.012,0.015,0.003
9245,"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,STWD",PEACHES,133,34.14,2.01,0.42,0.154,0.204,0.045
9244,"PEACHES,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",PEACHES,325,83.18,4.89,1.03,0.377,0.498,0.111
9248,"PEACHES,DRIED,SULFURED,STWD,W/ SUGAR",PEACHES,103,26.6,1.06,0.22,0.082,0.108,0.024
9247,"PEACHES,DRIED,SULFURED,STWD,WO/ SUGAR",PEACHES,77,19.69,1.16,0.25,0.089,0.118,0.026
9246,"PEACHES,DRIED,SULFURED,UNCKD",PEACHES,239,61.33,3.61,0.76,0.278,0.367,0.082
9250,"PEACHES,FRZ,SLICED,SWTND",PEACHES,94,23.98,0.63,0.13,0.048,0.064,0.014
9243,"PEACHES,SPICED,CND,HVY SYRUP PK,SOL&LIQUIDS",PEACHES,75,20.08,0.41,0.1,0.036,0.048,0.011
9236,"PEACHES,YEL,RAW",PEACHES,39,9.54,0.91,0.25,0.067,0.086,0.019
16399,"PEANUT BUTTER W/ OMEGA-3,CREAMY",PEANUT BUTTER W/ OMEGA-3,608,17.0,24.47,54.17,36.614,6.95,9.691
16097,"PEANUT BUTTER,CHUNK STYLE,W/SALT",PEANUT BUTTER,589,21.57,24.06,49.94,23.123,13.932,7.607
16397,"PEANUT BUTTER,CHUNK STYLE,WO/SALT",PEANUT BUTTER,589,21.57,24.06,49.94,23.123,13.932,7.607
16156,"PEANUT BUTTER,CHUNKY,VITAMIN&MINERAL FORT",PEANUT BUTTER,593,17.69,26.06,51.47,24.366,14.648,7.972
42291,"PEANUT BUTTER,RED NA",PEANUT BUTTER,590,21.83,24.0,49.9,23.582,14.363,7.716
16098,"PEANUT BUTTER,SMOOTH STYLE,W/ SALT",PEANUT BUTTER,598,22.31,22.21,51.36,25.941,12.535,10.325
16398,"PEANUT BUTTER,SMOOTH STYLE,WO/SALT",PEANUT BUTTER,598,22.31,22.21,51.36,25.941,12.535,10.325
16150,"PEANUT BUTTER,SMOOTH,RED FAT",PEANUT BUTTER,520,35.65,25.9,34.0,16.156,9.182,5.76
16155,"PEANUT BUTTER,SMOOTH,VIT & MINERAL FORT",PEANUT BUTTER,591,18.75,25.72,50.81,24.832,13.847,10.125
16099,"PEANUT FLOUR,DEFATTED",PEANUT FLOUR,327,34.7,52.2,0.55,0.225,0.143,0.063
16100,"PEANUT FLOUR,LOW FAT",PEANUT FLOUR,428,31.27,33.8,21.9,10.866,6.921,3.04
16149,"PEANUT SPRD,RED SUGAR",PEANUT SPRD,650,14.23,24.8,54.89,26.997,16.266,10.22
16088,"PEANUTS,ALL TYPES,CKD,BLD,W/SALT",PEANUTS,318,21.26,13.5,22.01,10.921,6.956,3.055
16090,"PEANUTS,ALL TYPES,DRY-ROASTED,W/SALT",PEANUTS,587,21.26,24.35,49.66,26.181,9.773,7.723
16390,"PEANUTS,ALL TYPES,DRY-ROASTED,WO/SALT",PEANUTS,587,21.26,24.35,49.66,26.181,9.773,7.723
16089,"PEANUTS,ALL TYPES,OIL-ROASTED,W/SALT",PEANUTS,599,15.26,28.03,52.5,25.995,15.303,8.655
16389,"PEANUTS,ALL TYPES,OIL-ROASTED,WO/ SALT",PEANUTS,599,15.26,28.03,52.5,25.976,15.292,8.686
16087,"PEANUTS,ALL TYPES,RAW",PEANUTS,567,16.13,25.8,49.24,24.426,15.558,6.279
16092,"PEANUTS,SPANISH,OIL-ROASTED,W/SALT",PEANUTS,579,17.45,28.01,49.04,22.073,17.008,7.555
16392,"PEANUTS,SPANISH,OIL-ROASTED,WO/SALT",PEANUTS,579,17.45,28.01,49.04,22.073,17.008,7.555
16091,"PEANUTS,SPANISH,RAW",PEANUTS,570,15.83,26.15,49.6,22.325,17.238,7.098
16094,"PEANUTS,VALENCIA,OIL-ROASTED,W/SALT",PEANUTS,589,16.3,27.04,51.24,23.065,17.772,7.894
16394,"PEANUTS,VALENCIA,OIL-ROASTED,WO/SALT",PEANUTS,589,16.3,27.04,51.24,23.065,17.772,7.894
16093,"PEANUTS,VALENCIA,RAW",PEANUTS,570,20.91,25.09,47.58,21.414,16.5,7.329
16096,"PEANUTS,VIRGINIA,OIL-ROASTED,W/SALT",PEANUTS,578,19.86,25.87,48.62,25.222,14.669,6.345
16396,"PEANUTS,VIRGINIA,OIL-ROASTED,WO/SALT",PEANUTS,578,19.86,25.87,48.62,25.222,14.669,6.345
16095,"PEANUTS,VIRGINIA,RAW",PEANUTS,563,16.54,25.19,48.75,25.58,14.877,6.434
9408,"PEAR NECTAR,CND,W/ VIT C",PEAR NECTAR,60,15.76,0.11,0.01,0.003,0.003,0.001
9262,"PEAR NECTAR,CND,WO/ VIT C",PEAR NECTAR,60,15.76,0.11,0.01,0.003,0.003,0.001
9340,"PEARS,ASIAN,RAW",PEARS,42,10.65,0.5,0.23,0.049,0.055,0.012
9258,"PEARS,CND,EX HVY SYRUP PK,SOL&LIQUIDS",PEARS,97,25.25,0.19,0.13,0.026,0.03,0.007
9255,"PEARS,CND,EX LT SYRUP PK,SOL&LIQUIDS",PEARS,47,12.2,0.3,0.1,0.021,0.023,0.006
9253,"PEARS,CND,H2O PK,SOL&LIQUIDS",PEARS,29,7.81,0.19,0.03,0.006,0.007,0.002
9257,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS",PEARS,74,19.17,0.2,0.13,0.027,0.03,0.007
9374,"PEARS,CND,HVY SYRUP,DRND",PEARS,74,19.08,0.24,0.18,0.037,0.041,0.01
9254,"PEARS,CND,JUC PK,SOL&LIQUIDS",PEARS,50,12.94,0.34,0.07,0.014,0.015,0.004
9256,"PEARS,CND,LT SYRUP PK,SOL&LIQUIDS",PEARS,57,15.17,0.19,0.03,0.006,0.007,0.002
9261,"PEARS,DRIED,SULFURED,STWD,W/ SUGAR",PEARS,140,37.14,0.86,0.29,0.061,0.068,0.016
9260,"PEARS,DRIED,SULFURED,STWD,WO/ SUGAR",PEARS,127,33.81,0.91,0.31,0.064,0.072,0.017
9259,"PEARS,DRIED,SULFURED,UNCKD",PEARS,262,69.7,1.87,0.63,0.132,0.148,0.035
9252,"PEARS,RAW",PEARS,57,15.23,0.36,0.14,0.084,0.094,0.022
11816,"PEAS&CARROTS,CND,NO SALT,SOL&LIQUIDS",PEAS&CARROTS,38,8.48,2.17,0.27,0.023,0.129,0.049
11318,"PEAS&CARROTS,CND,REG PK,SOL&LIQUIDS",PEAS&CARROTS,38,8.48,2.17,0.27,0.023,0.129,0.049
11817,"PEAS&CARROTS,FRZ,CKD,BLD,DRND,W/SALT",PEAS&CARROTS,48,10.12,3.09,0.42,0.035,0.201,0.077
11323,"PEAS&CARROTS,FRZ,CKD,BLD,DRND,WO/SALT",PEAS&CARROTS,48,10.12,3.09,0.42,0.035,0.201,0.077
11322,"PEAS&CARROTS,FRZ,UNPREP",PEAS&CARROTS,53,11.15,3.4,0.47,0.039,0.221,0.084
11324,"PEAS&ONIONS,CND,SOL&LIQUIDS",PEAS&ONIONS,51,8.57,3.28,0.38,0.036,0.176,0.068
11818,"PEAS&ONIONS,FRZ,CKD,BLD,DRND,W/SALT",PEAS&ONIONS,45,8.63,2.54,0.2,0.019,0.094,0.036
11327,"PEAS&ONIONS,FRZ,CKD,BLD,DRND,WO/SALT",PEAS&ONIONS,45,8.63,2.54,0.2,0.019,0.094,0.036
11326,"PEAS&ONIONS,FRZ,UNPREP",PEAS&ONIONS,70,13.51,3.98,0.32,0.031,0.148,0.057
11301,"PEAS,EDIBLE-PODDED,BLD,DRND,WO/ SALT",PEAS,42,7.05,3.27,0.23,0.023,0.1,0.044
11809,"PEAS,EDIBLE-PODDED,CKD,BLD,DRND,W/SALT",PEAS,40,6.46,3.27,0.23,0.023,0.1,0.044
11810,"PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,W/SALT",PEAS,50,8.43,3.5,0.38,0.039,0.167,0.073
11303,"PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,WO/SALT",PEAS,52,9.02,3.5,0.38,0.039,0.167,0.073
11302,"PEAS,EDIBLE-PODDED,FRZ,UNPREP",PEAS,42,7.2,2.8,0.3,0.031,0.133,0.058
11300,"PEAS,EDIBLE-PODDED,RAW",PEAS,42,7.55,2.8,0.2,0.021,0.089,0.039
11304,"PEAS,GREEN,RAW",PEAS,81,14.45,5.42,0.4,0.035,0.187,0.071
11308,"PEAS,GRN (INCLUDES BABY & LESUER TYPES),CND,DRND SOL,UNPREP",PEAS,68,11.36,4.47,0.8,0.071,0.375,0.143
11811,"PEAS,GRN,CKD,BLD,DRND,W/SALT",PEAS,84,15.63,5.36,0.22,0.019,0.102,0.039
11305,"PEAS,GRN,CKD,BLD,DRND,WO/SALT",PEAS,84,15.63,5.36,0.22,0.019,0.102,0.039
11311,"PEAS,GRN,CND,DRND SOL,RINSED IN TAP H2O",PEAS,71,11.82,4.33,0.95,0.085,0.449,0.17
11813,"PEAS,GRN,CND,NO SALT,DRND SOL",PEAS,69,12.58,4.42,0.35,0.031,0.163,0.062
11812,"PEAS,GRN,CND,NO SALT,SOL&LIQUIDS",PEAS,53,9.75,3.19,0.3,0.027,0.142,0.054
11306,"PEAS,GRN,CND,REG PK,SOL&LIQUIDS",PEAS,58,10.6,3.01,0.48,0.043,0.226,0.086
11310,"PEAS,GRN,CND,SEASONED,SOL&LIQUIDS",PEAS,50,9.25,3.09,0.27,0.024,0.127,0.048
11814,"PEAS,GRN,FRZ,CKD,BLD,DRND,W/SALT",PEAS,78,14.26,5.15,0.27,0.024,0.129,0.049
11313,"PEAS,GRN,FRZ,CKD,BLD,DRND,WO/SALT",PEAS,78,14.26,5.15,0.27,0.024,0.129,0.049
11312,"PEAS,GRN,FRZ,UNPREP",PEAS,77,13.62,5.22,0.4,0.033,0.175,0.066
16085,"PEAS,GRN,SPLIT,MATURE SEEDS,RAW",PEAS,352,63.74,23.82,1.16,0.242,0.495,0.161
11815,"PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",PEAS,98,17.08,7.05,0.51,0.045,0.24,0.09
11317,"PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",PEAS,98,17.08,7.05,0.51,0.045,0.24,0.09
11316,"PEAS,MATURE SEEDS,SPROUTED,RAW",PEAS,124,27.11,8.8,0.68,0.061,0.326,0.124
16386,"PEAS,SPLIT,MATURE SEEDS,CKD,BLD,W/SALT",PEAS,116,20.51,8.34,0.39,0.081,0.165,0.054
16086,"PEAS,SPLIT,MATURE SEEDS,CKD,BLD,WO/SALT",PEAS,118,21.1,8.34,0.39,0.081,0.165,0.054
12142,PECANS,PECANS,691,13.86,9.17,71.97,40.801,21.614,6.18
12643,"PECANS,DRY RSTD,W/SALT",PECANS,710,13.55,9.5,74.27,43.957,20.572,6.283
12143,"PECANS,DRY RSTD,WO/SALT",PECANS,710,13.55,9.5,74.27,43.957,20.572,6.283
12644,"PECANS,OIL RSTD,W/SALT",PECANS,715,13.01,9.2,75.23,40.97,23.584,7.238
12144,"PECANS,OIL RSTD,WO/SALT",PECANS,715,13.01,9.2,75.23,40.97,23.584,7.238
42063,"PECTIN,LIQUID",PECTIN,11,2.1,0.0,0.0,0.0,0.0,0.0
19310,"PECTIN,UNSWTND,DRY MIX",PECTIN,325,90.4,0.3,0.3,0.01,0.09,0.05
11976,"PEPPER,BANANA,RAW",PEPPER,27,5.35,1.66,0.45,0.027,0.243,0.048
2030,"PEPPER,BLACK",PEPPER,251,63.95,10.39,3.26,0.739,0.998,1.392
2031,"PEPPER,RED OR CAYENNE",PEPPER,318,56.63,12.01,17.27,2.75,8.37,3.26
2032,"PEPPER,WHITE",PEPPER,296,68.61,10.4,2.12,0.789,0.616,0.626
7056,PEPPERED LOAF  PORK  BF,PEPPERED LOAF  PORK  BF,149,4.53,17.3,6.37,3.0,0.5,2.28
28377,"PEPPERIDGE FARM,100% WHL WHEAT HAMBURGER BUNS",PEPPERIDGE FARM,257,43.2,0.01,3.08,0.57,1.53,0.84
28378,"PEPPERIDGE FARM,CINN SWIRL BREAD",PEPPERIDGE FARM,300,52.9,0.01,5.0,1.1,3.2,1.1
28388,"PEPPERIDGE FARM,DELI SWIRL BREAD",PEPPERIDGE FARM,247,44.7,0.01,3.1,0.6,1.6,0.9
28392,"PEPPERIDGE FARM,FARMHOUSE 100% WHL WHEAT BREAD",PEPPERIDGE FARM,269,46.1,0.01,4.81,0.91,2.33,1.33
28381,"PEPPERIDGE FARM,FARMHOUSE HEARTY WHITE BREAD",PEPPERIDGE FARM,267,60.16,0.01,2.98,0.58,1.21,0.98
28382,"PEPPERIDGE FARM,FARMHOUSE OATMEAL BREAD",PEPPERIDGE FARM,275,50.7,0.01,4.07,0.88,1.93,1.02
28384,"PEPPERIDGE FARM,FARMHOUSE SOURDOUGH BREAD",PEPPERIDGE FARM,269,50.3,0.01,3.53,0.72,1.7,0.88
28363,"PEPPERIDGE FARM,GOLDFISH,BKD SNACK CRACKERS,ORIGINAL",PEPPERIDGE FARM,467,65.81,9.42,18.42,10.991,4.335,1.432
28364,"PEPPERIDGE FARM,GOLDFISH,BKD SNACK CRACKERS,PARMESAN",PEPPERIDGE FARM,459,64.7,11.16,17.29,9.223,3.431,2.614
28365,"PEPPERIDGE FARM,GOLDFISH,BKD SNACK CRACKERS,PIZZA",PEPPERIDGE FARM,469,65.11,9.67,18.93,11.111,4.045,2.137
28394,"PEPPERIDGE FARM,HAMBURGER BUN",PEPPERIDGE FARM,278,50.0,0.01,3.71,0.71,1.84,0.96
28387,"PEPPERIDGE FARM,HAMBURGER BUNS W/SESAME",PEPPERIDGE FARM,280,49.9,0.01,4.08,0.87,2.02,1.0
28385,"PEPPERIDGE FARM,JEWISH RYE BREAD (SEEDLESS)",PEPPERIDGE FARM,253,45.0,0.01,3.4,0.6,1.2,0.9
28390,"PEPPERIDGE FARM,LT STYLE WHEAT BREAD",PEPPERIDGE FARM,256,45.6,0.01,1.9,0.4,0.9,0.7
28386,"PEPPERIDGE FARM,PUMPERNICKEL BREAD",PEPPERIDGE FARM,259,46.9,0.01,3.4,0.6,1.6,0.9
28379,"PEPPERIDGE FARM,RAISIN CINN SWIRL BREAD",PEPPERIDGE FARM,286,52.1,0.01,5.0,1.1,2.5,1.1
28391,"PEPPERIDGE FARM,SEEDED JEWISH RYE BREAD",PEPPERIDGE FARM,256,48.4,0.01,2.8,0.6,0.9,0.6
28389,"PEPPERIDGE FARM,WHITE BREAD",PEPPERIDGE FARM,280,50.2,0.01,5.1,1.3,1.3,1.3
28393,"PEPPERIDGE FARM,WHITE HOAGIE ROLL",PEPPERIDGE FARM,296,50.7,0.01,8.7,1.9,3.9,2.5
28383,"PEPPERIDGE FARM,WHL GRAIN 100% WHL WHEAT BREAD",PEPPERIDGE FARM,263,47.2,0.01,3.5,0.7,1.9,0.7
28380,"PEPPERIDGE FARM,WHL GRAIN 15 GRAIN BREAD",PEPPERIDGE FARM,270,45.8,0.01,4.9,0.9,2.8,0.9
28395,"PEPPERIDGE FARM,WHL GRAIN HONEY WHL WHEAT BREAD",PEPPERIDGE FARM,263,47.7,0.01,3.5,0.7,1.9,0.9
28396,"PEPPERIDGE FARM,WHL GRAIN OATMEAL BREAD",PEPPERIDGE FARM,258,46.5,0.01,3.7,0.7,1.9,0.9
2064,"PEPPERMINT,FRESH",PEPPERMINT,70,14.89,3.75,0.94,0.033,0.508,0.246
7057,"PEPPERONI,BF & PORK,SLICED",PEPPERONI,504,1.18,19.25,46.28,20.77,4.458,17.708
11978,"PEPPERS,ANCHO,DRIED",PEPPERS,281,51.42,11.86,8.2,0.492,4.511,0.82
11980,"PEPPERS,CHILI,GRN,CND",PEPPERS,21,4.6,0.72,0.27,0.017,0.153,0.028
11962,"PEPPERS,HOT CHILE,SUN-DRIED",PEPPERS,324,69.86,10.58,5.81,0.468,3.079,0.813
11329,"PEPPERS,HOT CHILI,GRN,CND,PODS,EXCLUDING SEEDS,SOL&LIQUIDS",PEPPERS,21,5.1,0.9,0.1,0.006,0.055,0.01
11670,"PEPPERS,HOT CHILI,GRN,RAW",PEPPERS,40,9.46,2.0,0.2,0.011,0.109,0.021
11820,"PEPPERS,HOT CHILI,RED,CND,EXCLUDING SEEDS,SOL&LIQUIDS",PEPPERS,21,5.1,0.9,0.1,0.006,0.055,0.01
11819,"PEPPERS,HOT CHILI,RED,RAW",PEPPERS,40,8.81,1.87,0.44,0.024,0.239,0.042
31034,"PEPPERS,HOT PICKLED,CND",PEPPERS,22,4.56,0.8,0.4,0.023,0.143,0.061
11981,"PEPPERS,HUNGARIAN,RAW",PEPPERS,29,6.7,0.8,0.41,0.024,0.24,0.046
11632,"PEPPERS,JALAPENO,CND,SOL&LIQUIDS",PEPPERS,27,4.74,0.92,0.94,0.053,0.514,0.097
11979,"PEPPERS,JALAPENO,RAW",PEPPERS,29,6.5,0.91,0.37,0.029,0.112,0.092
11977,"PEPPERS,SERRANO,RAW",PEPPERS,32,6.7,1.74,0.44,0.023,0.222,0.059
11822,"PEPPERS,SWT,GRN,CKD,BLD,DRND,W/SALT",PEPPERS,26,6.11,0.92,0.2,0.013,0.106,0.029
11334,"PEPPERS,SWT,GRN,CKD,BLD,DRND,WO/SALT",PEPPERS,28,6.7,0.92,0.2,0.013,0.106,0.029
11335,"PEPPERS,SWT,GRN,CND,SOL&LIQUIDS",PEPPERS,18,3.9,0.8,0.3,0.02,0.161,0.045
11634,"PEPPERS,SWT,GRN,FREEZE-DRIED",PEPPERS,314,68.7,17.9,3.0,0.202,1.607,0.447
11338,"PEPPERS,SWT,GRN,FRZ,CHOPD,BLD,DRND,WO/SALT",PEPPERS,18,3.9,0.95,0.18,0.012,0.099,0.027
11825,"PEPPERS,SWT,GRN,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",PEPPERS,16,3.31,0.95,0.18,0.012,0.099,0.027
11337,"PEPPERS,SWT,GRN,FRZ,CHOPD,UNPREP",PEPPERS,20,4.45,1.08,0.21,0.014,0.113,0.031
11333,"PEPPERS,SWT,GRN,RAW",PEPPERS,20,4.64,0.86,0.17,0.008,0.062,0.058
11339,"PEPPERS,SWT,GRN,SAUTEED",PEPPERS,127,4.22,0.78,11.85,2.337,5.9,1.59
11824,"PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT",PEPPERS,26,6.11,0.92,0.2,0.013,0.106,0.029
11823,"PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",PEPPERS,28,6.7,0.92,0.2,0.013,0.106,0.029
11916,"PEPPERS,SWT,RED,CND,SOL&LIQUIDS",PEPPERS,18,3.9,0.8,0.3,0.02,0.161,0.045
11931,"PEPPERS,SWT,RED,FREEZE-DRIED",PEPPERS,314,68.7,17.9,3.0,0.202,1.607,0.447
11919,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,W/ SALT",PEPPERS,16,3.31,0.95,0.18,0.012,0.099,0.027
11918,"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,WO/ SALT",PEPPERS,16,3.31,0.95,0.18,0.012,0.099,0.027
11917,"PEPPERS,SWT,RED,FRZ,CHOPD,UNPREP",PEPPERS,20,4.45,1.08,0.21,0.014,0.113,0.031
11821,"PEPPERS,SWT,RED,RAW",PEPPERS,31,6.03,0.99,0.3,0.003,0.07,0.027
11921,"PEPPERS,SWT,RED,SAUTEED",PEPPERS,133,6.57,1.04,12.75,2.287,5.719,1.557
15060,"PERCH,MIXED SPECIES,RAW",PERCH,91,0.0,19.39,0.92,0.152,0.368,0.185
15061,"PERCH,MXD SP,CKD,DRY HEAT",PERCH,117,0.0,24.86,1.18,0.195,0.472,0.237
9263,"PERSIMMONS,JAPANESE,RAW",PERSIMMONS,70,18.59,0.58,0.19,0.037,0.043,0.02
5155,"PHEASANT,BREAST,MEAT ONLY,RAW",PHEASANT,133,0.0,24.37,3.25,1.04,0.55,1.1
43283,"PHEASANT,CKD,TOTAL EDIBLE",PHEASANT,239,0.0,32.4,12.1,5.627,1.185,3.908
5156,"PHEASANT,LEG,MEAT ONLY,RAW",PHEASANT,134,0.0,22.2,4.3,1.38,0.73,1.46
5154,"PHEASANT,RAW,MEAT ONLY",PHEASANT,133,0.0,23.57,3.64,1.17,0.62,1.24
5153,"PHEASANT,RAW,MEAT&SKN",PHEASANT,181,0.0,22.7,9.29,4.32,1.18,2.7
18338,PHYLLO DOUGH,PHYLLO DOUGH,299,52.6,7.1,6.0,3.149,0.923,1.47
11958,"PICKLE RELISH,HAMBURGER",PICKLE RELISH,129,34.48,0.63,0.54,0.269,0.131,0.052
11944,"PICKLE RELISH,HOT DOG",PICKLE RELISH,91,23.35,1.5,0.46,0.227,0.11,0.044
11945,"PICKLE RELISH,SWEET",PICKLE RELISH,130,35.06,0.37,0.47,0.209,0.122,0.054
7058,"PICKLE&PIMIENTO LOAF,PORK",PICKLE&PIMIENTO LOAF,225,8.46,11.23,15.95,7.06,2.804,5.287
11983,"PICKLES,CHOWCHOW,W/CAULIFLOWER ONION MUSTARD,SWT",PICKLES,121,26.64,1.5,0.9,0.17,0.397,0.149
11937,"PICKLES,CUCUMBER,DILL OR KOSHER DILL",PICKLES,12,2.41,0.5,0.3,0.005,0.122,0.079
11947,"PICKLES,CUCUMBER,DILL,RED NA",PICKLES,12,2.41,0.5,0.3,0.005,0.122,0.079
11941,"PICKLES,CUCUMBER,SOUR",PICKLES,11,2.26,0.33,0.2,0.003,0.081,0.052
11946,"PICKLES,CUCUMBER,SOUR,LO NA",PICKLES,11,2.26,0.33,0.2,0.003,0.081,0.052
11940,"PICKLES,CUCUMBER,SWT (INCLUDES BREAD & BUTTER PICKLES)",PICKLES,91,21.15,0.58,0.41,0.004,0.106,0.067
11948,"PICKLES,CUCUMBER,SWT,LO NA (INCLUDES BREAD & BUTTER PICKLES)",PICKLES,122,33.73,0.37,0.26,0.004,0.106,0.067
7062,"PICNIC LOAF,PORK,BEEF",PICNIC LOAF,232,4.76,14.92,16.64,7.68,1.89,6.07
